Component,MW,RD (m),hh (m),mass (kg),cost ($),model,source,note,OEM,outlier?,US market model?
blade,0.31,30.1,35,3200,,HOLEC WPS-30/3,https://en.wind-turbine-models.com/turbines/1034-holec-wps-30-3,,HOLEC,No,No
blade,0.25,28.5,28.5,800,,HSW Husumer Schiffs. HSW 250 T,https://en.wind-turbine-models.com/turbines/265-hsw-husumer-schiffs-hsw-250-t,,HSW Husumer Schiffs.,No,No
blade,1,54,52.4,3600,,HSW Husumer Schiffs. HSW 1000/54,https://en.wind-turbine-models.com/turbines/266-hsw-husumer-schiffs-hsw-1000-54,,HSW Husumer Schiffs.,No,No
blade,1.5,77,77,6800,,Ingetur IT-77/1500,https://en.wind-turbine-models.com/turbines/949-ingetur-it-77-1500,,Ingetur,No,No
blade,0.6,42,40.5,1200,,IWT V42,https://en.wind-turbine-models.com/turbines/1611-iwt-v42,,IWT,No,No
blade,1.75,66,60,3800,,IWT V66,https://en.wind-turbine-models.com/turbines/2476-iwt-v66,,IWT,No,No
blade,0.33,26,25,4800,,James Howden HWP-330-26,https://en.wind-turbine-models.com/turbines/2533-james-howden-hwp-330-26,,James Howden,No,No
blade,0.33,33,25,5000,,James Howden HWP-330-33,https://en.wind-turbine-models.com/turbines/2534-james-howden-hwp-330-33,,James Howden,No,No
blade,1.5,70,70,4500,,JSW Japan Steel Work J70,https://en.wind-turbine-models.com/turbines/2511-jsw-japan-steel-work-j70,,JSW Japan Steel Work,No,No
blade,2,83.3,70,6500,,JSW Japan Steel Work J82-2.0,https://en.wind-turbine-models.com/turbines/65-jsw-japan-steel-work-j82-2-0,,JSW Japan Steel Work,No,No
blade,2,83.3,70,6500,,JSW Japan Steel Work J82-2.0D,https://en.wind-turbine-models.com/turbines/2516-jsw-japan-steel-work-j82-2-0d,,JSW Japan Steel Work,No,No
blade,0.03,13,30.5,100,,KÃ¤hler Maschinenbau KANO Rotor,https://en.wind-turbine-models.com/turbines/251-kaehler-maschinenbau-kano-rotor,,KÃ¤hler Maschinenbau,No,No
blade,0.36,33,24,1000,,Kenetech KVS-33,https://en.wind-turbine-models.com/turbines/116-kenetech-kvs-33,,Kenetech,No,No
blade,0.41,33,25,700,,Kenetech 33 M-VS,https://en.wind-turbine-models.com/turbines/975-kenetech-33-m-vs,,Kenetech,No,No
blade,0.165,25,22.7,1000,,KÃ¶ster Adler 25,https://en.wind-turbine-models.com/turbines/234-koester-adler-25,,KÃ¶ster,No,No
blade,0.05,15,30,100,,Krogmann 15-50,https://en.wind-turbine-models.com/turbines/324-krogmann-15-50,,Krogmann,No,No
blade,3,80.5,78,9000,,KvÃ¦rner Turbin AB NÃ¤sudden II,https://en.wind-turbine-models.com/turbines/830-kv-rner-turbin-ab-naesudden-ii,,KvÃ¦rner Turbin AB,No,No
blade,0.08,18,32,200,,Lagerwey LW 18/80,https://en.wind-turbine-models.com/turbines/79-lagerwey-lw-18-80,,Lagerwey,No,No
blade,0.25,27,36,300,,Lagerwey LW 27/250,https://en.wind-turbine-models.com/turbines/378-lagerwey-lw-27-250,,Lagerwey,No,No
blade,0.25,30,40,300,,Lagerwey LW 30/250,https://en.wind-turbine-models.com/turbines/380-lagerwey-lw-30-250,,Lagerwey,No,No
blade,0.33,30.4,30,1200,,Made - Endesa AE-30,https://en.wind-turbine-models.com/turbines/574-made-endesa-ae-30,,Made - Endesa,No,No
blade,3,100.4,100,23000,,MAN GROWIAN,https://en.wind-turbine-models.com/turbines/100-man-growian,,MAN,No,No
blade,0.011,11.6,10,100,,MAN Aeroman 11/11,https://en.wind-turbine-models.com/turbines/1412-man-aeroman-11-11,,MAN,No,No
blade,0.03,12.5,10,100,,MAN 12.5/30,https://en.wind-turbine-models.com/turbines/2603-man-12-5-30,,MAN,No,No
blade,0.033,14.8,15,200,,MAN Aeroman 14.8,https://en.wind-turbine-models.com/turbines/692-man-aeroman-14-8,,MAN,No,No
blade,1.2,60,50,8600,,MAN WKA-60 (GROWIAN II),https://en.wind-turbine-models.com/turbines/182-man-wka-60-growian-ii,,MAN,No,No
blade,2.5,103.4,82,11000,,Mapna MWT2.5-103-I,https://en.wind-turbine-models.com/turbines/2611-mapna-mwt2-5-103-i,,Mapna,No,No
blade,0.6,45.9,51.5,1600,,Markham VS 45,https://en.wind-turbine-models.com/turbines/386-markham-vs-45,,Markham,No,No
blade,3,80.5,92,9000,,MBB Messerschmitt Aeolus II,https://en.wind-turbine-models.com/turbines/134-mbb-messerschmitt-aeolus-ii,,MBB Messerschmitt,No,No
blade,0.025,12.5,15,0,,MBB Messerschmitt Monopteros M20,https://en.wind-turbine-models.com/turbines/1581-mbb-messerschmitt-monopteros-m20,,MBB Messerschmitt,No,No
blade,0.64,56,60,2600,,MBB Messerschmitt Monopteros M50,https://en.wind-turbine-models.com/turbines/319-mbb-messerschmitt-monopteros-m50,,MBB Messerschmitt,No,No
blade,3.3,112,,11900,,MHI Vestas Offshore V112-3.3 MW,https://en.wind-turbine-models.com/turbines/1463-mhi-vestas-offshore-v112-3-3-mw,,MHI Vestas Offshore,No,No
blade,8,164,105,35000,,MHI Vestas Offshore V164-8.0 MW,https://en.wind-turbine-models.com/turbines/1419-mhi-vestas-offshore-v164-8-0-mw,,MHI Vestas Offshore,No,No
blade,8.3,164,105,35000,,MHI Vestas Offshore V164-8.3 MW,https://en.wind-turbine-models.com/turbines/1706-mhi-vestas-offshore-v164-8-3-mw,,MHI Vestas Offshore,No,No
blade,9,164,105,35000,,MHI Vestas Offshore V164-9.0 MW,https://en.wind-turbine-models.com/turbines/1568-mhi-vestas-offshore-v164-9-0-mw,,MHI Vestas Offshore,No,No
blade,9.5,164,105,35000,,MHI Vestas Offshore V164-9.5 MW,https://en.wind-turbine-models.com/turbines/1605-mhi-vestas-offshore-v164-9-5-mw,,MHI Vestas Offshore,No,No
blade,10,164,105,35000,,MHI Vestas Offshore V164-10.0MW,https://en.wind-turbine-models.com/turbines/1912-mhi-vestas-offshore-v164-10-0mw,,MHI Vestas Offshore,No,No
blade,9.5,174,110,35000,,MHI Vestas Offshore V174-9.5,https://en.wind-turbine-models.com/turbines/2138-mhi-vestas-offshore-v174-9-5,,MHI Vestas Offshore,No,No
blade,0.108,18.9,24.4,900,,Micon 108 US,https://en.wind-turbine-models.com/turbines/588-micon-108-us,,Micon,No,No
blade,0.25,27.8,36,800,,Micon M 600/250,https://en.wind-turbine-models.com/turbines/1093-micon-m-600-250,,Micon,No,No
blade,0.225,29.8,30,800,,Micon M 700-225,https://en.wind-turbine-models.com/turbines/377-micon-m-700-225,,Micon,No,Yes
blade,0.25,31,36,1200,,Micon M 750/250,https://en.wind-turbine-models.com/turbines/1092-micon-m-750-250,,Micon,No,No
blade,0.4,31,35,1200,,Micon M 750/400,https://en.wind-turbine-models.com/turbines/665-micon-m-750-400,,Micon,No,No
blade,0.6,37,45,1800,,Micon M 1100-600,https://en.wind-turbine-models.com/turbines/1302-micon-m-1100-600,,Micon,No,Yes
blade,0.5,43,40,2000,,Micon M 1500-500,https://en.wind-turbine-models.com/turbines/94-micon-m-1500-500,,Micon,No,No
blade,0.6,43,40,2000,,Micon M 1500-600,https://en.wind-turbine-models.com/turbines/385-micon-m-1500-600,,Micon,No,No
